data-time,wind,dir,slp,t2,rh2,td2,nwp_wind,nwp_dir,nwp_u,nwp_v,nwp_t,nwp_rh,nwp_psfc,nwp_slp,residual
2018-03-05-22:00:00,1.62,91.0,1030.3,269.55,66.0,264.66,1.3324,56.4549,-1.07965,-0.75755,268.73892,73.45074,1027.06055,1034.703,0.2876000000000001
2018-03-05-23:00:00,2.59,70.0,1031.3,270.45,65.0,265.35,1.51636,50.95233,-1.14568,-0.97519,269.48276,69.42731,1027.8689,1035.51208,1.07364
2018-03-06-00:00:02,2.38,85.0,1032.5,270.95,64.0,265.65,1.70031,45.44977,-1.2117,-1.19283,270.22656,65.40387,1028.67725,1036.32129,0.6796899999999999
2018-03-06-01:00:00,4.46,107.0,1033.1,271.95,58.0,265.46,1.95346,74.37886,-1.41485,-0.24406,271.89902,59.02869,1028.91431,1036.52625,2.50654
2018-03-06-02:00:00,3.73,129.0,1033.7,273.65,54.0,265.38,2.20662,103.30795,-1.61799,0.7047,273.5715,52.6535,1029.15149,1036.73132,1.52338
2018-03-06-03:00:00,3.65,163.0,1033.6,275.35,46.0,264.88,2.45977,132.23705,-1.82114,1.65346,275.24396,46.27832,1029.38855,1036.93628,1.1902300000000001
2018-03-06-04:00:00,3.86,126.0,1032.8,275.75,41.0,263.77,2.87353,138.14178,-1.83184,2.17018,276.20694,41.46173,1028.39819,1035.91357,0.9864699999999997
2018-03-06-05:00:00,2.64,115.0,1031.4,276.05,37.0,262.72,3.28728,144.04654,-1.84254,2.68689,277.16995,36.64515,1027.40796,1034.89087,-0.6472799999999999
2018-03-06-06:00:00,3.5,171.0,1030.4,277.85,31.0,262.09,3.70103,149.95128,-1.85324,3.20361,278.13293,31.82856,1026.4176,1033.86816,-0.20102999999999982
2018-03-06-07:00:00,4.83,166.0,1029.7,277.75,28.0,260.71,4.15165,154.94998,-1.67292,3.76225,277.89758,32.82367,1025.90869,1033.34814,0.67835
2018-03-06-08:00:00,5.37,150.0,1029.1,277.25,28.0,260.27,4.60227,159.94868,-1.49259,4.32088,277.6622,33.81877,1025.3999,1032.82812,0.7677300000000002
2018-03-06-09:00:00,6.2,150.0,1029.1,277.05,29.0,260.54,5.05289,164.94739,-1.31227,4.87952,277.42685,34.81388,1024.89099,1032.30811,1.1471100000000005
2018-03-06-10:00:00,6.66,152.0,1029.9,275.45,35.0,261.48,4.86596,162.38417,-1.45371,4.63396,276.07687,35.50432,1025.60669,1033.06165,1.7940399999999999
2018-03-06-11:00:00,6.92,155.0,1030.4,273.85,38.0,261.07,4.67903,159.82094,-1.59515,4.38841,274.72687,36.19476,1026.32227,1033.81519,2.24097
2018-03-06-12:00:00,4.54,155.0,1030.4,273.55,31.0,258.26,3.94772,157.59448,-1.50471,3.6497,272.45395,40.15219,1026.69934,1034.25,0.5922800000000001
2018-03-06-13:00:00,5.72,166.0,1030.6,273.15,34.0,259.04,3.37673,161.86226,-1.1274,3.16762,271.88397,42.09902,1026.68054,1034.24463,2.34327
2018-03-06-14:00:00,4.93,160.0,1030.4,272.55,39.0,261.48,2.80574,166.13002,-0.75008,2.68553,271.314,44.04584,1026.66174,1034.23914,2.1242599999999996
2018-03-06-15:00:00,3.78,154.0,1030.2,272.05,45.0,262.64,2.23476,170.3978,-0.37277,2.20345,270.74402,45.99266,1026.64294,1034.23376,1.5452399999999997
2018-03-06-16:00:00,4.46,158.0,1029.5,271.65,44.0,262.01,2.14644,154.04866,-0.80926,1.81058,270.31198,50.06719,1026.14014,1033.73694,2.31356
2018-03-06-17:00:00,3.23,166.0,1029.1,270.25,50.0,262.15,2.05813,137.69954,-1.24575,1.41771,269.87991,54.14172,1025.63745,1033.23999,1.1718700000000002
2018-03-06-18:00:00,3.87,156.0,1028.6,271.15,48.0,262.53,1.96982,121.3504,-1.68223,1.02484,269.44788,58.21624,1025.13464,1032.74316,1.9001800000000002
2018-03-06-19:00:00,3.44,128.0,1027.8,271.35,45.0,261.98,1.82171,118.31789,-1.59211,0.87579,269.09384,54.63585,1024.34656,1031.95837,1.61829
